Season,Weight,Bracket,Round,Winner,Loser,Score,Decision Type
1930,125,1,4,9122,10449,TA 6:35,1
1930,125,1,5,9122,8868,TA 1:49,1
1930,135,0,10,10429,10452,,1
1930,135,0,11,9192,10455,,1
1930,135,0,11,10429,8977,,1
1930,135,0,12,9192,10429,Dec,1
1930,135,0,15,8888,10429,Dec,1
1930,135,1,2,8783,10452,Fall 7:55,2
1930,135,1,2,9192,10454,TA 1:50,1
1930,135,1,2,10429,10453,Fall 7:19,2
1930,135,1,3,8783,10429,TA 9:10,1
1930,135,1,3,8888,9192,TA 8:02,1
1930,135,1,3,8977,8923,Fall 5:59,2
1930,135,1,3,10455,10384,TA 2:47,1
1930,135,1,4,8783,8977,Fall 6:04,2
1930,135,1,4,8888,10455,TA 9:00,1
1930,135,1,5,8783,8888,TA 5:08,1
1930,145,0,10,9197,8891,,1
1930,145,0,11,9197,8956,,1
1930,145,0,15,9197,8849,,1
1930,145,1,2,8849,10458,,1
1930,145,1,2,8956,10456,TA 4:43,1
1930,145,1,2,9121,9197,TA 7:14,1
1930,145,1,2,10365,10459,TA 4:38,1
1930,145,1,2,10386,10457,TA 2:47,1
1930,145,1,3,8849,10365,TA 3:43,1
1930,145,1,3,8956,10386,TA 5:22,1
1930,145,1,3,9121,8891,TA 5:40,1
1930,145,1,3,10391,10465,Fall 3:51,2
1930,145,1,4,8849,10391,TA 2:38,1
1930,145,1,4,9121,8956,TA 9:28,1
1930,145,1,5,9121,8849,TA 1:33,1
1930,155,0,11,8848,10468,,1
1930,155,0,15,8848,9106,,1
1930,155,1,2,8848,10466,TA 5:57,1
1930,155,1,3,8848,10469,TA 1:16 OT,1
1930,155,1,3,9013,10468,Fall 6:29,2
1930,155,1,3,9106,9173,RD,1
1930,155,1,3,10372,10467,TA 6:45,1
1930,155,1,4,9013,8848,TA 4:01,1
1930,155,1,4,9106,10372,TA 7:45,1
1930,155,1,5,9013,9106,TA 6:46,1
1930,165,0,11,8884,10461,,1
1930,165,0,11,10439,10462,,1
1930,165,0,12,8884,10439,Fall,2
1930,165,0,15,8970,8884,Dec,1
1930,165,1,2,10439,10460,Fall 5:59,2
1930,165,1,3,8970,10462,TA 5:47,1
1930,165,1,3,9199,8884,TA 6:07,1
1930,165,1,3,10439,10463,TA 9:18,1
1930,165,1,3,10461,10422,TA 5:27,1
1930,165,1,4,8970,10439,TA 1:32 OT,1
1930,165,1,4,9199,10461,Fall 8:23,2
1930,165,1,5,9199,8970,TA 7:40,1
1930,175,0,11,9102,10441,Med FFT,3
1930,175,0,15,9102,9052,,1
1930,175,1,2,9052,10473,TA 5:04,1
1930,175,1,2,10441,10471,TA 1:23,1
1930,175,1,2,10470,10476,TA 2:20,1
1930,175,1,2,10474,10475,Fall 7:14,2
1930,175,1,3,9052,10474,TA 0:56 OT,1
1930,175,1,3,9144,9102,TA 2:52,1
1930,175,1,3,10441,10470,TA 0:26 OT,1
1930,175,1,3,10477,10478,TA 6:04,1
1930,175,1,4,9052,10477,TA 0:02 OT,1
1930,175,1,4,9144,10441,DFT,3
1930,175,1,5,9144,9052,TA 0:58 OT,1
1930,UNL,0,11,8976,10480,,1
1930,UNL,0,11,10479,9101,Dec,1
1930,UNL,0,12,8976,10479,Fall,2
1930,UNL,0,15,8890,8976,Dec,1
1930,UNL,1,3,8890,10479,Fall 4:32,2
1930,UNL,1,3,8976,10482,Fall 1:09,2
1930,UNL,1,3,9101,10481,TA 6:20,1
1930,UNL,1,3,9170,10480,Fall 1:56,2
1930,UNL,1,4,8890,9101,Fall 4:06,2
1930,UNL,1,4,9170,8976,Fall 2:05,2
1930,UNL,1,5,9170,8890,Fall 2:17,2
1931,118,0,11,9157,10362,TA 1:46,1
1931,118,0,11,10360,10364,FFT,3
1931,118,0,12,9157,10360,Fall 1:59,2
1931,118,0,15,9070,9157,TA 1:08,1
1931,118,1,3,8991,9157,TA 3:48,1
1931,118,1,3,9070,10364,Fall 1:45,2
1931,118,1,3,10360,10361,Fall 5:37,2
1931,118,1,3,10362,10363,Fall 13:54 OT,2
1931,118,1,4,8991,10362,TA 3:50,1
1931,118,1,4,9070,10360,Fall 4:05,2
1931,118,1,5,8991,9070,Fall 9:00,2
1931,126,0,12,8977,10377,TA 2:56,1
1931,126,0,15,8868,8977,TA 0:36,1
1931,126,1,3,8977,10376,TA 5:06,1
1931,126,1,4,8868,10377,TA 7:51,1
1931,126,1,4,9180,8977,TA 4:22 OT,1
1931,126,1,5,9180,8868,TA 2:34 OT,1
1931,135,0,10,9027,10378,Fall 2:52,2
1931,135,0,10,10383,10380,TA 0:48,1
1931,135,0,11,9027,9424,TA 0:34,1
1931,135,0,11,10383,10385,TA 1:12,1
1931,135,0,12,9027,10383,Fall 5:45,2
1931,135,0,15,9149,9027,TA 3:02,1
1931,135,1,2,8956,10378,Fall 1:20,2
1931,135,1,2,9027,10379,Fall 2:55,2
1931,135,1,2,9149,10380,TA 8:23,1
1931,135,1,3,8956,9027,Fall 8:21,2
1931,135,1,3,9149,10383,TA 2:10,1
1931,135,1,3,9424,10381,Fall 3:44,2
1931,135,1,3,10385,10384,TA 9:12,1
1931,135,1,4,8956,9424,TA 1:55,1
1931,135,1,4,9149,10385,TA 5:41,1
1931,135,1,5,8956,9149,TA 1:53,1
1931,145,0,10,8967,10389,Fall 1:39,2
1931,145,0,11,8967,10392,FFT,3
1931,145,0,15,8967,9204,TA 4:48,1
1931,145,1,2,8967,10388,Fall 9:07,2
1931,145,1,2,8975,10389,Fall 5:25 7:30,2
1931,145,1,2,9204,8849,Fall 0:30,2
1931,145,1,2,10386,10387,Fall 6:40,2
1931,145,1,3,8975,8967,TA 0:55 OT,1
1931,145,1,3,9204,10386,TA 1:56,1
1931,145,1,3,10391,10390,TA 7:17,1
