Season,Weight,Wrestler Number,Bracket Position,Consolation Position,Seed,Place
1931,165,9000,17,,,3
1931,165,10371,25,,,
1931,165,9932,29,,,
1931,175,9144,1,,,1
1931,175,10373,9,,,
1931,175,9009,17,,,2
1931,175,9942,25,,,3
1931,UNL,9098,1,,,1
1931,UNL,10356,5,,,
1931,UNL,10357,13,,,
1931,UNL,8976,17,,,3
1931,UNL,10358,21,,,
1931,UNL,8885,25,,,2
1931,UNL,10359,29,,,
1932,123,9180,1,,,2
1932,123,10414,5,,,
1932,123,10363,9,,,
1932,123,8909,11,,,1
1932,123,10415,13,,,
1932,123,10416,15,,,
1932,123,10417,17,,,
1932,123,10418,19,,,
1932,123,10420,21,,,
1932,123,10406,23,,,
1932,123,10362,25,,,3
1932,123,10419,29,,,
1932,134,10421,1,,,
1932,134,10422,5,,,
1932,134,8868,9,,,3
1932,134,8895,11,,,
1932,134,10424,13,,,
1932,134,10423,15,,,
1932,134,9184,17,,,2
1932,134,10380,19,,,
1932,134,9913,21,,,
1932,134,10425,23,,,
1932,134,8923,25,,,1
1932,134,9918,29,,,
1932,145,10081,1,,,
1932,145,10391,5,,,
1932,145,9121,9,,,1
1932,145,9249,11,,,
1932,145,9162,13,,,
1932,145,8931,15,,,2
1932,145,10426,17,,,
1932,145,10427,19,,,
1932,145,10428,21,,,
1932,145,9928,25,,,3
1932,145,10429,29,,,
1932,158,9949,1,,,
1932,158,9009,5,,,1
1932,158,10439,7,,,
1932,158,9936,9,,,
1932,158,10440,11,,,
1932,158,10441,13,,,
1932,158,9057,15,,,2
1932,158,8863,17,,,
1932,158,10442,19,,,
1932,158,10443,21,,,
1932,158,10444,23,,,
1932,158,8965,25,,,3
1932,158,8998,27,,,
1932,158,10445,29,,,
1932,174,9173,1,,,2
1932,174,10433,5,,,
1932,174,8939,7,,,3
1932,174,10434,9,,,
1932,174,9237,11,,,
1932,174,10435,13,,,
1932,174,9942,15,,,
1932,174,10436,17,,,
1932,174,10437,19,,,
1932,174,8893,21,,,
1932,174,8959,23,,,1
1932,174,9954,25,,,
1932,174,10438,29,,,
1932,191,9105,1,,,1
1932,191,10430,5,,,
1932,191,10402,9,,,
1932,191,10431,13,,,
1932,191,8935,17,,,3
1932,191,9251,21,,,2
1932,191,10432,25,,,
1932,UNL,8936,1,,,
1932,UNL,9098,9,,,1
1932,UNL,8972,13,,,2
1932,UNL,8885,17,,,
1932,UNL,8945,21,,,
1932,UNL,9073,25,,,3
1933,118,9901,1,,,
1933,118,9911,5,,,
1933,118,9181,9,,,1
1933,118,9902,13,,,
1933,118,8997,17,,,3
1933,118,9903,21,,,
1933,118,9904,25,,,
1933,118,8909,29,,,2
1933,126,8895,1,,,2
1933,126,9905,5,,,
1933,126,9906,9,,,
1933,126,8926,11,,,3
1933,126,9907,13,,,
1933,126,9908,15,,,
1933,126,9153,17,,,1
1933,126,9909,19,,,
1933,126,9957,21,,,
1933,126,9912,25,,,
1933,126,9910,29,,,
1933,135,9248,1,,,
1933,135,9131,3,,,
1933,135,9913,5,,,
1933,135,9914,7,,,
1933,135,9915,9,,,
1933,135,9916,11,,,
1933,135,8882,13,,,3
1933,135,9918,15,,,
1933,135,9917,16,,,
1933,135,9919,17,,,
1933,135,9920,19,,,
1933,135,9921,21,,,
1933,135,9923,23,,,
1933,135,9958,25,,,
1933,135,9922,27,,,
1933,135,8928,29,,,1
1933,135,8879,31,,,2
1933,145,9924,1,,,
1933,145,9925,5,,,
1933,145,9249,9,,,2
1933,145,8931,13,,,3
1933,145,9926,15,,,
1933,145,9162,17,,,1
1933,145,9927,21,,,
1933,145,8989,25,,,
1933,145,9928,29,,,
1933,155,9260,1,,,2
1933,155,9935,5,,,
1933,155,8958,9,,,1
1933,155,9936,13,,,
1933,155,9937,15,,,
1933,155,9938,17,,,
1933,155,9939,19,,,
1933,155,9940,21,,,
1933,155,9941,25,,,
1933,155,8994,29,,,3
1933,165,8965,1,,,1
1933,165,9929,5,,,
1933,165,8998,9,,,2
1933,165,9930,13,,,
1933,165,9115,15,,,
1933,165,9931,17,,,
1933,165,9237,19,,,3
1933,165,9932,21,,,
1933,165,9933,25,,,
1933,165,9934,29,,,
1933,175,9942,1,,,
1933,175,9943,5,,,
1933,175,9944,9,,,
1933,175,8944,11,,,2
1933,175,8959,13,,,1
1933,175,9945,15,,,
1933,175,9946,17,,,
1933,175,9151,19,,,3
1933,175,9947,21,,,
1933,175,9948,25,,,
1933,175,9949,29,,,
1933,UNL,9950,1,,,
1933,UNL,9951,5,,,
1933,UNL,8945,9,,,3
1933,UNL,9952,13,,,
1933,UNL,9251,15,,,1
1933,UNL,10403,17,,,
1933,UNL,9954,19,,,
1933,UNL,8935,21,,,2
1933,UNL,9955,25,,,
1933,UNL,9956,29,,,
1934,118,9247,1,,,
1934,118,8997,5,,,
1934,118,8924,9,,,3
1934,118,10078,13,,,
1934,118,9181,17,,,1
1934,118,10077,21,,,
1934,118,9087,29,,,2
1934,126,9248,1,,,3
1934,126,10080,5,,,
1934,126,10086,9,,,
1934,126,10087,13,,,
1934,126,9153,17,,,1
1934,126,10079,21,,,
1934,126,8926,25,,,2
1934,126,9970,27,,,
1934,126,9907,29,,,
1934,135,8928,1,,,3
1934,135,10408,3,,,
1934,135,10406,5,,,
1934,135,10404,9,,,
1934,135,9918,13,,,
1934,135,9124,17,,,1
1934,135,10407,19,,,
1934,135,9252,21,,,2
1934,135,9958,25,,,
1934,135,9197,29,,,
1934,145,8879,1,,,
1934,145,9032,3,,,
1934,145,9984,5,,,
1934,145,9016,9,,,2
1934,145,10410,11,,,
1934,145,9262,13,,,3
1934,145,10409,15,,,
1934,145,8846,17,,,
1934,145,10412,19,,,
1934,145,10411,21,,,
1934,145,10413,23,,,
1934,145,9162,25,,,1
1934,145,9997,29,,,
1934,155,9166,1,,,2
1934,155,10084,5,,,
1934,155,8989,9,,,1
1934,155,10082,13,,,
1934,155,9249,17,,,3
1934,155,10081,19,,,
1934,155,10085,21,,,
1934,155,10083,25,,,
1934,155,10065,29,,,
1934,165,8863,1,,,3
1934,165,9930,5,,,
1934,165,9237,9,,,2
1934,165,10394,13,,,
1934,165,9933,17,,,
1934,165,10395,21,,,
1934,165,9115,25,,,1
1934,165,10396,29,,,
1934,175,9151,1,,,3
1934,175,10400,3,,,
1934,175,10399,5,,,
1934,175,8845,9,,,2
1934,175,10397,13,,,
1934,175,8944,17,,,1
1934,175,10398,21,,,
1934,175,9244,25,,,
1934,175,10026,29,,,
1934,UNL,8936,1,,,2
1934,UNL,10403,5,,,
1934,UNL,9251,9,,,1
1934,UNL,10402,11,,,
1934,UNL,8844,13,,,
1934,UNL,9956,15,,,
1934,UNL,9261,17,,,
1934,UNL,10015,19,,,
1934,UNL,8999,21,,,
1934,UNL,10401,23,,,
1934,UNL,8893,25,,,3
1934,UNL,9255,29,,,
1935,118,8929,1,,,2
1935,118,9247,5,,,
1935,118,9959,7,,,
1935,118,9181,9,,,1
1935,118,9960,11,,,
1935,118,9961,13,,,
1935,118,9962,15,,,
1935,118,10054,17,,,
1935,118,8902,19,,,3
1935,118,9963,21,,,
1935,118,9964,23,,,
1935,118,9965,25,,,
1935,118,9974,29,,,
1935,126,9966,1,,,
1935,126,9072,5,,,
1935,126,9153,7,,,1
1935,126,9967,9,,,
1935,126,9968,11,,,
1935,126,9973,13,,,
1935,126,9969,15,,,
1935,126,9983,17,,,
1935,126,9239,19,,,2
1935,126,9970,21,,,
1935,126,8907,23,,,3
1935,126,9971,25,,,
1935,126,9972,29,,,
