Season,Weight,Wrestler Number,Bracket Position,Consolation Position,Seed,Place
1959,157,8150,30,,,
1959,157,8004,32,,6,
1959,167,8274,1,17,,
1959,167,8064,3,,4,1
1959,167,8275,5,,,
1959,167,8278,7,25,5,
1959,167,8276,8,,,
1959,167,8006,10,,,
1959,167,8277,11,,,
1959,167,8279,12,,,
1959,167,8074,14,29,1,3
1959,167,8209,15,,,
1959,167,8280,16,,,
1959,167,8010,17,,,
1959,167,8282,18,,,
1959,167,8047,19,30,2,4
1959,167,8283,21,,,
1959,167,7931,23,,,
1959,167,8284,25,23,,
1959,167,8041,26,,3,2
1959,167,8285,27,24,,
1959,167,8286,29,28,6,
1959,167,8168,32,,,
1959,177,8053,1,25,4,
1959,177,8173,3,,,
1959,177,8287,5,18,,
1959,177,8152,7,17,5,
1959,177,6753,8,,,2
1959,177,8288,10,,,
1959,177,8289,12,,,
1959,177,8086,14,29,1,3
1959,177,7930,15,,,
1959,177,8000,16,,,
1959,177,8290,17,23,,
1959,177,8054,18,,2,1
1959,177,7250,19,24,,
1959,177,8184,21,28,,
1959,177,8183,23,,,
1959,177,8075,25,30,3,4
1959,177,7987,26,,,
1959,177,8291,27,,,
1959,177,8292,29,,,
1959,177,8062,32,,6,
1959,191,8294,1,,5,
1959,191,8295,3,,,
1959,191,8296,5,,,
1959,191,8066,7,29,4,4
1959,191,8297,9,,,
1959,191,8188,11,25,,
1959,191,8298,13,18,,
1959,191,8085,15,,1,2
1959,191,8050,16,17,,
1959,191,8299,17,23,,
1959,191,8046,19,,2,1
1959,191,8300,21,28,,
1959,191,8180,23,,,
1959,191,7991,25,,,
1959,191,8301,27,,6,
1959,191,8302,29,,,
1959,191,8082,31,30,3,3
1959,UNL,7940,1,29,4,
1959,UNL,7937,3,,,
1959,UNL,8303,5,,5,
1959,UNL,8304,7,,,
1959,UNL,8055,9,25,,4
1959,UNL,8305,11,,,
1959,UNL,7992,13,18,,
1959,UNL,7933,15,,1,1
1959,UNL,8312,16,17,,
1959,UNL,8306,17,30,2,3
1959,UNL,8307,19,,,
1959,UNL,8308,21,,,
1959,UNL,8309,23,,,
1959,UNL,8072,25,,6,2
1959,UNL,8310,27,23,,
1959,UNL,7983,29,28,3,
1959,UNL,8311,31,,,
1960,115,8087,1,,,
1960,115,8088,3,,4,
1960,115,8078,5,29,5,4
1960,115,8089,7,,,
1960,115,7805,9,17,,
1960,115,7943,11,,1,2
1960,115,8091,13,,,
1960,115,8092,15,25,,
1960,115,7814,17,,,
1960,115,8081,19,28,,
1960,115,7808,21,,2,1
1960,115,8093,23,23,,
1960,115,8058,25,30,,3
1960,115,8095,27,,3,
1960,115,8094,29,,6,
1960,123,8096,1,,5,
1960,123,8097,3,,,
1960,123,8098,5,,4,
1960,123,8099,7,29,,
1960,123,7977,8,,,
1960,123,8100,9,,,
1960,123,7952,11,,,
1960,123,8071,12,25,,4
1960,123,8043,13,,1,1
1960,123,8101,15,,,
1960,123,7941,16,17,,
1960,123,7953,17,,,
1960,123,8102,18,,,
1960,123,8103,19,30,2,
1960,123,7823,21,,,
1960,123,7804,23,,,
1960,123,7824,25,28,6,3
1960,123,8104,26,,,
1960,123,8105,27,,,
1960,123,8106,29,23,,
1960,123,7800,32,,3,2
1960,130,7975,1,29,5,
1960,130,7962,3,,,
1960,130,7956,5,,4,
1960,130,7844,7,,,
1960,130,8107,8,,,
1960,130,8065,9,25,,4
1960,130,8108,11,,,
1960,130,8040,13,,1,1
1960,130,8109,15,,,
1960,130,7797,16,17,,
1960,130,8068,17,23,,3
1960,130,7936,18,,2,2
1960,130,7799,19,24,,
1960,130,8110,21,,,
1960,130,8111,23,28,,
1960,130,7954,25,,3,
1960,130,8112,27,,,
1960,130,7839,29,,,
1960,130,7944,32,30,6,
1960,137,8113,1,,,
1960,137,7812,3,,5,
1960,137,7969,4,,,
1960,137,8052,5,,,
1960,137,8115,7,,,
1960,137,7848,8,29,4,3
1960,137,8140,9,18,,
1960,137,8042,11,,1,1
1960,137,8116,12,17,,
1960,137,8114,13,,,
1960,137,8117,15,,,
1960,137,7803,16,25,,
1960,137,8118,17,23,,
1960,137,8119,18,,,
1960,137,8045,19,,2,2
1960,137,8120,21,,,
1960,137,8121,22,,,
1960,137,8076,23,28,,4
1960,137,8122,25,,3,
1960,137,8207,26,,,
1960,137,8208,27,30,,
1960,137,8123,29,,,
1960,137,8124,32,,6,
1960,147,8125,1,,,
1960,147,8024,3,29,5,4
1960,147,8126,4,,,
1960,147,7866,5,,,
1960,147,7853,7,,4,
1960,147,8127,8,,,
1960,147,7935,9,,1,1
1960,147,8128,11,,,
1960,147,8129,12,17,,
1960,147,8021,13,,,
1960,147,8130,14,,,
1960,147,8015,15,25,,
1960,147,8131,16,,,
1960,147,8023,17,23,,
1960,147,7860,18,,2,2
1960,147,8016,19,24,,
1960,147,8132,21,,,
1960,147,8133,22,28,,
1960,147,8134,23,,,
1960,147,8051,25,30,,3
1960,147,8135,26,,,
1960,147,7942,27,,3,
1960,147,8136,29,,6,
1960,147,8137,30,,,
1960,147,8138,32,,,
1960,157,8141,1,,,
1960,157,8139,3,,4,
1960,157,8142,4,,,
1960,157,8143,5,,,
1960,157,8144,6,,,
1960,157,8036,7,29,5,
1960,157,8145,8,,,
1960,157,8027,9,,,
1960,157,7806,10,25,,4
1960,157,8146,11,,,
1960,157,8080,12,,1,
1960,157,8147,13,,,
1960,157,7934,14,18,,
1960,157,8070,15,,,1
1960,157,8148,16,17,,
1960,157,7870,17,,,
1960,157,8149,18,,,
1960,157,7877,19,,,
1960,157,8009,20,28,,
1960,157,8004,21,,2,2
1960,157,8150,22,23,,
1960,157,8151,23,,,
1960,157,7858,24,24,,
1960,157,8152,25,,,
1960,157,8153,26,,,
1960,157,8038,27,,6,
1960,157,8005,28,,,
1960,157,7802,29,,,
1960,157,7865,30,30,3,3
1960,157,8154,32,,,
1960,167,8155,1,,,
1960,167,8156,3,29,4,
1960,167,8157,4,,,
1960,167,7856,5,,,
1960,167,8170,7,,,
1960,167,8158,8,,5,
1960,167,8159,9,,,
1960,167,8069,11,25,,4
1960,167,8160,12,,,
1960,167,8003,13,17,,
1960,167,8047,14,,1,1
1960,167,8161,15,,,
1960,167,8162,16,18,,
1960,167,8163,17,28,,
1960,167,8164,18,,,
1960,167,8165,19,,,
1960,167,8166,21,23,,
1960,167,7795,22,,2,2
1960,167,7906,23,24,,
1960,167,8167,25,,,
1960,167,8006,26,30,3,3
1960,167,7878,27,,,
1960,167,8168,29,,,
1960,167,8171,30,,,
1960,167,8169,32,,,
1960,177,8172,1,,,
1960,177,8173,3,29,4,
1960,177,8174,4,,,
1960,177,8175,5,,,
1960,177,8176,7,,,
1960,177,8177,8,,,
1960,177,8209,9,,,
1960,177,8178,11,,,
1960,177,7930,12,25,,4
1960,177,7901,13,18,,
1960,177,7900,15,17,,
1960,177,8053,16,,1,1
1960,177,8179,17,,,
1960,177,8180,18,23,,
1960,177,8050,19,,2,2
1960,177,8181,21,,,
1960,177,8182,22,28,,
1960,177,7798,23,,,
1960,177,8183,25,,,
1960,177,8184,26,,6,
1960,177,8186,27,,,
1960,177,8014,29,30,3,3
1960,177,8185,32,,,
1960,191,8187,1,17,4,
1960,191,8077,3,,,2
1960,191,8188,5,25,5,
1960,191,8206,7,,,
1960,191,8189,9,,,
1960,191,8190,11,,,
1960,191,8191,13,,,
1960,191,8192,15,,,
1960,191,8082,16,29,1,4
1960,191,7902,17,,,
1960,191,7909,18,,,
1960,191,8193,19,28,,
1960,191,8062,21,,2,1
1960,191,8194,23,23,,
1960,191,7991,25,,,
1960,191,8056,27,30,6,3
1960,191,8196,29,,,
1960,191,8195,32,,3,
1960,UNL,7811,1,29,4,4
1960,UNL,8197,3,,,
1960,UNL,7979,5,,,
1960,UNL,8199,7,,5,
1960,UNL,8198,8,,,
1960,UNL,8200,9,17,,
1960,UNL,7937,11,,1,1
1960,UNL,8201,13,,,
1960,UNL,7986,15,25,,
1960,UNL,8202,16,,,
1960,UNL,7982,17,23,,
1960,UNL,7810,18,,,2
1960,UNL,7940,19,24,2,3
1960,UNL,7983,21,28,,
1960,UNL,8203,23,,,
1960,UNL,7793,25,30,6,
1960,UNL,8204,26,,,
1960,UNL,7992,27,,,
1960,UNL,8205,29,,,
1960,UNL,7925,32,,3,
1961,115,7545,1,,5,
1961,115,7819,5,,,
1961,115,7941,7,29,4,4
1961,115,7696,9,25,,
1961,115,7685,13,17,,
1961,115,7808,15,,1,1
1961,115,7943,17,,2,2
1961,115,7945,19,23,,
1961,115,7813,21,28,,
1961,115,7522,25,,3,
1961,115,7494,27,30,,3
1961,115,7823,29,,6,
1961,123,7825,1,,,
1961,123,7947,3,,4,
1961,123,7799,5,29,5,4
1961,123,7948,7,,,
1961,123,7697,9,17,,
1961,123,7939,11,,1,1
1961,123,7824,13,25,,
1961,123,7949,15,,,
1961,123,7821,16,,,
1961,123,7950,17,,,
1961,123,7951,18,23,,
1961,123,7800,19,,2,2
1961,123,7952,21,,,
1961,123,7953,23,28,,
1961,123,7954,25,,,
1961,123,7551,27,,6,
1961,123,7955,29,,,
1961,123,7804,31,30,3,3
1961,130,7956,1,,,
1961,130,7516,3,,5,
1961,130,7957,5,,,
1961,130,7958,7,29,4,
1961,130,7959,8,,,
1961,130,7530,9,25,,3
1961,130,7960,11,,,
1961,130,7585,13,18,,
1961,130,7961,15,17,,
1961,130,7936,16,,1,1
1961,130,7962,17,,,
1961,130,7963,18,,,
1961,130,7964,19,,,
1961,130,7797,21,30,2,4
1961,130,7965,23,,,
1961,130,7841,25,,3,2
1961,130,7966,26,23,,
1961,130,7967,27,24,,
1961,130,7844,29,28,6,
1961,130,7537,31,,,
1961,137,7847,1,,5,2
1961,137,7968,3,17,,
1961,137,7969,5,,,
1961,137,7970,7,25,4,
1961,137,7971,8,,,
1961,137,7972,9,,,
1961,137,7510,11,,,
1961,137,7973,13,,,
1961,137,7974,15,,,
1961,137,7794,16,29,1,3
1961,137,7571,17,,,
1961,137,7803,19,28,,
1961,137,7975,20,,,
1961,137,7944,21,,2,1
1961,137,7721,23,23,,
1961,137,7976,25,,,
1961,137,7977,26,,,
1961,137,7812,27,30,3,4
1961,137,7845,29,,6,
1961,137,7850,32,,,
1961,147,7535,1,,,
1961,147,8015,3,,,
1961,147,7942,4,29,4,3
1961,147,8016,5,,5,
1961,147,8017,7,,,
1961,147,7730,8,,,
1961,147,8018,9,25,,
1961,147,7496,11,,,
1961,147,8019,12,,,
1961,147,8020,13,18,,
1961,147,7935,15,,1,1
1961,147,7729,16,17,,
1961,147,8021,17,,,
1961,147,7928,18,30,2,4
1961,147,8037,19,,,
1961,147,7858,21,,,
1961,147,7853,22,,,
1961,147,7866,23,,,
1961,147,7806,25,,3,2
1961,147,8022,26,23,,
1961,147,8023,27,24,,
1961,147,8024,29,28,6,
1961,147,8025,30,,,
1961,147,7733,32,,,
1961,157,8026,1,,5,
1961,157,7745,3,,,
1961,157,8027,4,,,
1961,157,8039,5,,4,
1961,157,8028,7,,,
1961,157,7491,8,29,,4
1961,157,7726,9,,,
1961,157,8029,11,,,
1961,157,8038,12,25,,
1961,157,7872,13,17,,
1961,157,7525,14,,1,1
1961,157,8030,16,18,,
1961,157,8031,17,,,
1961,157,7932,19,28,,3
1961,157,8032,20,,,
1961,157,7879,21,23,,
1961,157,7539,22,,2,2
1961,157,7492,23,24,,
1961,157,7809,25,30,,
1961,157,7511,26,,6,
1961,157,8035,27,,,
1961,157,8034,29,,,
1961,157,8033,30,,,
1961,157,8036,32,,3,
1961,167,7931,1,,5,1
1961,167,7499,3,17,,
1961,167,7865,5,25,4,3
1961,167,8002,7,,,
1961,167,8003,9,,,
1961,167,7488,11,,,
1961,167,8004,13,29,1,
1961,167,8005,15,,,
1961,167,8013,16,,,
1961,167,8006,17,30,2,
1961,167,7869,18,,,
1961,167,8007,19,,,
1961,167,8008,21,,,
1961,167,8009,23,,,
1961,167,8010,25,,,
1961,167,7934,27,28,6,4
1961,167,8011,29,23,,
1961,167,7930,32,,3,2
1961,177,7994,1,17,,
1961,177,7802,3,,4,1
1961,177,7929,5,25,5,4
1961,177,7995,7,,,
1961,177,7996,9,,,
1961,177,7997,11,,,
1961,177,7798,13,,1,
1961,177,7998,15,29,,
1961,177,8014,17,30,2,
1961,177,7893,19,,,
1961,177,7999,21,,,
1961,177,8000,23,,,
1961,177,7801,25,23,,3
1961,177,7487,27,,3,2
1961,177,7900,29,28,6,
1961,177,8001,31,,,
1961,191,7987,1,,5,
1961,191,7988,3,,,
1961,191,7921,5,29,4,
1961,191,7989,7,,,
1961,191,7990,9,17,,
1961,191,7938,11,,1,1
1961,191,7906,13,25,,4
1961,191,7991,15,,,
1961,191,7796,17,,,
1961,191,7518,19,28,2,
1961,191,7913,21,,,2
1961,191,7992,23,23,,
1961,191,7993,25,,3,
1961,191,7775,27,,,
1961,191,7795,29,30,6,3
1961,191,7910,31,,,
1961,UNL,7909,1,,,
1961,UNL,7811,3,29,4,3
1961,UNL,7925,5,,,
1961,UNL,7978,7,,5,
1961,UNL,7979,9,17,,
1961,UNL,7937,11,,1,1
1961,UNL,7980,13,25,,
1961,UNL,7981,15,,,
1961,UNL,7933,17,,2,2
1961,UNL,7982,19,23,,
1961,UNL,7983,21,28,,
1961,UNL,7984,23,,,
1961,UNL,7985,25,,,
1961,UNL,7940,27,30,3,4
1961,UNL,7986,29,,6,
1962,115,7813,3,29,5,
1962,115,7814,5,,,
1962,115,7494,7,,4,
1962,115,7815,9,17,,
1962,115,7808,11,,1,1
1962,115,7816,13,,,
1962,115,7805,15,25,,4
1962,115,7817,17,23,,
1962,115,7532,19,,2,2
1962,115,7818,21,,,
1962,115,7522,23,28,,3
1962,115,7819,25,,,
1962,115,7696,27,,3,
1962,115,7545,29,30,6,
1962,123,7588,1,,4,
1962,123,7693,3,,,
1962,123,7820,4,,,
1962,123,7821,5,,,
1962,123,7537,6,29,5,3
1962,123,7829,7,,,
1962,123,7800,10,,1,1
1962,123,7822,11,,,
1962,123,7402,12,17,,
1962,123,7697,14,25,,
1962,123,7690,16,,,
1962,123,7536,17,,,
1962,123,7804,19,30,2,4
1962,123,7823,20,,,
1962,123,7824,21,,,
1962,123,7825,22,,,
1962,123,7686,23,,,
1962,123,7541,26,28,6,
1962,123,7826,27,,,
1962,123,7827,28,,,
1962,123,7799,30,,3,2
1962,123,7828,32,23,,
1962,130,7797,1,,4,2
1962,130,7830,3,17,,
1962,130,7549,5,25,5,
1962,130,7831,6,,,
1962,130,7832,7,,,
1962,130,7833,10,,,
1962,130,7516,11,29,1,3
1962,130,7834,12,,,
1962,130,7835,13,,,
1962,130,7836,14,,,
1962,130,7837,16,,,
1962,130,7838,17,,,
1962,130,7839,19,,,
1962,130,7840,20,,,
1962,130,7700,21,,,
1962,130,7523,22,,,
1962,130,7841,23,30,2,
1962,130,7524,26,28,6,4
1962,130,7707,27,,,
1962,130,7842,29,23,,
1962,130,7530,30,,3,1
1962,130,7843,32,24,,
1962,137,7844,1,18,,
1962,137,7496,3,,4,2
1962,137,7713,4,17,,
1962,137,7411,5,,,
1962,137,7845,6,,,
1962,137,7510,7,25,5,
1962,137,7846,10,,,
1962,137,7855,11,,,
1962,137,7847,12,,1,
1962,137,7848,14,,,
1962,137,7502,16,29,,4
1962,137,7794,17,,2,1
1962,137,7708,19,,,
1962,137,7849,20,23,,
1962,137,7850,21,28,,
1962,137,7705,22,,,
1962,137,7851,23,,,
1962,137,7717,26,,,
1962,137,7852,27,,,
1962,137,7853,28,,6,
1962,137,7812,29,30,3,3
1962,137,7854,32,,,
1962,147,7803,1,29,4,4
1962,147,7856,3,,,
1962,147,7857,4,,,
1962,147,7730,5,,,
1962,147,7734,6,,,
1962,147,7491,7,,5,
1962,147,7728,8,,,
1962,147,7539,9,,1,2
1962,147,7880,10,17,,
1962,147,7858,11,,,
1962,147,7859,12,18,,
1962,147,7860,13,25,,
1962,147,7861,14,,,
1962,147,7862,16,,,
1962,147,7732,17,,,
1962,147,7863,19,,,
1962,147,7609,20,30,,
1962,147,7864,21,,,
1962,147,7733,22,,,
1962,147,7616,23,,,
1962,147,7865,24,,2,
1962,147,7866,25,,,
1962,147,7544,26,28,6,
1962,147,7597,27,,,
1962,147,7867,28,,,
1962,147,7535,29,,,1
1962,147,7809,30,23,3,3
1962,147,7729,32,24,,
1962,157,7868,1,,,
1962,157,7869,3,,,
1962,157,7870,4,,4,
1962,157,7506,5,,5,
1962,157,7745,6,29,,
1962,157,7871,7,,,
1962,157,7872,10,17,,
1962,157,7873,11,18,,
1962,157,7525,12,,1,2
1962,157,7807,14,25,,4
1962,157,7874,16,,,
1962,157,7619,17,,,1
1962,157,7526,19,23,,
1962,157,7875,20,,,
1962,157,7876,21,,,
1962,157,7806,22,28,2,3
1962,157,7738,23,,,
1962,157,7877,26,,,
1962,157,7755,27,30,6,
1962,157,7878,28,,,
1962,157,7492,30,,3,
1962,157,7879,32,,,
1962,167,7515,1,,4,
1962,167,7881,3,,,
1962,167,7882,4,,,
1962,167,7883,5,,,
1962,167,7884,6,,,
1962,167,7511,7,29,5,3
1962,167,7488,10,18,,
1962,167,7795,11,,1,1
1962,167,7885,12,17,,
1962,167,7886,13,,,
1962,167,7887,14,,,
1962,167,7888,16,25,,
1962,167,7889,17,,,
1962,167,7890,19,,,
1962,167,7906,20,,2,
1962,167,7533,21,30,,4
1962,167,7891,22,,,
1962,167,7892,23,,,
1962,167,7751,26,24,,
1962,167,7517,27,,3,2
1962,167,7893,28,23,,
1962,167,7894,29,,6,
1962,167,7895,30,28,,
1962,167,7896,32,,,
1962,177,7897,1,,,
1962,177,7907,3,,4,
1962,177,7766,4,,,
1962,177,7512,5,,,
1962,177,7764,6,,,
1962,177,7762,7,29,5,
1962,177,7802,10,,1,1
1962,177,7538,11,17,,3
1962,177,7898,12,,,
1962,177,7486,14,,,
1962,177,7899,16,25,,
1962,177,7900,17,28,,
1962,177,7901,19,,,
1962,177,7902,20,,,
1962,177,7528,22,,2,2
1962,177,7770,23,23,,
1962,177,7903,26,,,
1962,177,7904,27,,6,
1962,177,7905,28,,,
1962,177,7499,30,,,
1962,177,7798,32,30,3,4
1962,191,7796,1,29,,4
1962,191,7908,3,,,
1962,191,7781,4,,4,
1962,191,7909,6,,5,
1962,191,7910,7,,,
1962,191,7519,10,,,2
1962,191,7911,11,,,
1962,191,7779,12,17,,
1962,191,7912,14,,,
1962,191,7913,16,25,1,
1962,191,7914,17,,,
1962,191,7915,19,,,
1962,191,7760,20,28,,
1962,191,7916,22,23,,
1962,191,7487,23,,2,1
1962,191,7917,26,,,
1962,191,7801,27,30,3,3
1962,191,7918,30,,,
1962,191,7919,32,,6,
1962,UNL,7920,1,,,
1962,UNL,7546,3,,4,
1962,UNL,7921,5,,,
1962,UNL,7811,7,29,5,4
1962,UNL,7782,9,17,,
1962,UNL,7674,11,,1,2
1962,UNL,7922,13,25,,
1962,UNL,7923,15,,,
1962,UNL,7924,17,,,
1962,UNL,7925,19,,2,
1962,UNL,7926,21,,,
1962,UNL,7793,23,30,,3
1962,UNL,7550,25,28,6,
1962,UNL,7927,27,,,
1962,UNL,7810,29,,3,1
1962,UNL,7783,31,23,,
1963,115,7675,1,18,,
1963,115,7676,3,17,,
1963,115,7545,4,,4,2
1963,115,7677,5,,,
1963,115,7494,6,25,5,5
1963,115,7678,7,,,
1963,115,7557,10,,,
1963,115,7679,11,,,
1963,115,7565,12,,,
1963,115,7551,14,29,1,4
1963,115,7267,16,,,
1963,115,7680,17,,,
1963,115,7522,19,28,2,6
1963,115,7681,20,,,
1963,115,7271,21,23,,
1963,115,7683,22,,,
1963,115,7531,23,,,1
1963,115,7684,26,,,
1963,115,7685,27,,3,
1963,115,7558,28,,,
1963,115,7568,30,,,
1963,115,7483,32,30,6,3
1963,123,7521,1,,4,2
1963,123,7686,3,,,
1963,123,7687,4,17,,
1963,123,7523,5,25,5,5
1963,123,7384,6,,,
1963,123,7688,7,,,
1963,123,7532,9,29,1,3
1963,123,7579,10,,,
1963,123,7689,11,,,
1963,123,7253,12,,,
1963,123,7698,13,,,
1963,123,7690,14,,,
1963,123,7691,16,,,
1963,123,7501,17,,,
1963,123,7692,19,28,,
1963,123,7693,20,,,
1963,123,7537,21,,2,1
1963,123,7503,22,23,,
1963,123,7694,23,,,
1963,123,7536,24,24,,6
1963,123,7570,25,,,
1963,123,7695,26,,,
1963,123,7541,27,30,6,4
1963,123,7564,29,,,
1963,123,7697,30,,,
1963,123,7696,32,,3,
1963,130,7699,1,,5,
1963,130,7577,3,,,
1963,130,7592,4,,,
1963,130,7700,5,,,
1963,130,7549,6,29,4,6
1963,130,7413,7,,,
1963,130,7585,10,,,
1963,130,7498,11,25,,3
1963,130,7701,12,,,
1963,130,7530,14,,1,1
1963,130,7702,16,17,,
1963,130,7703,17,,,
1963,130,7408,19,,,
1963,130,7704,20,,,
1963,130,7421,21,,,
1963,130,7524,22,30,2,4
1963,130,7705,23,,,
1963,130,7588,26,28,3,
1963,130,7706,27,,,
1963,130,7707,28,,,
1963,130,7228,30,23,6,5
1963,130,7419,32,,,2
1963,137,7708,1,,,
1963,137,7709,3,,,
1963,137,7510,4,29,4,3
1963,137,7386,5,,,
1963,137,7710,6,,,
1963,137,7593,7,,5,
1963,137,7409,8,,,
1963,137,7496,9,,1,1
1963,137,7711,10,17,,
1963,137,7553,11,18,,5
1963,137,7401,12,,,
1963,137,7547,13,,,
1963,137,7712,14,,,
1963,137,7713,15,25,,
1963,137,7714,16,,,
1963,137,7715,17,,,
1963,137,7716,18,28,,
1963,137,7717,19,,,
1963,137,7586,20,,,
1963,137,7516,21,,2,2
1963,137,7718,22,23,,
1963,137,7719,23,,,
1963,137,7554,24,24,,6
1963,137,7720,25,,,
1963,137,7489,26,30,6,4
1963,137,7412,27,,,
1963,137,7582,28,,,
1963,137,7721,29,,3,
1963,137,7722,30,,,
1963,137,7596,32,,,
1963,147,7723,1,,,
1963,147,7210,3,29,5,5
1963,147,7724,4,,,
1963,147,7725,5,,,
1963,147,7726,6,,,
1963,147,7727,7,,,
1963,147,7233,8,,4,
1963,147,7548,9,18,,4
1963,147,7728,10,,,
1963,147,7608,11,17,,
1963,147,7535,12,,1,1
1963,147,7500,13,,,
1963,147,7729,14,,,
1963,147,7211,15,,,
1963,147,7730,16,25,,
1963,147,7731,17,,,
1963,147,7732,18,28,,
1963,147,7603,19,,,
1963,147,7611,20,,,
1963,147,7526,21,23,,
1963,147,7544,22,,2,2
1963,147,7224,23,,,
1963,147,7506,24,24,,6
1963,147,7733,25,,,
1963,147,7438,26,,,
1963,147,7237,27,30,3,3
1963,147,7734,28,,,
1963,147,7467,29,,6,
1963,147,7736,30,,,
1963,147,7207,32,,,
1963,157,7426,1,,,
1963,157,7738,3,,,
1963,157,7745,4,,5,
1963,157,7739,6,,,
1963,157,7491,7,29,4,3
1963,157,7740,8,,,
1963,157,7741,9,,,
1963,157,7742,10,,,
1963,157,7504,11,25,,6
1963,157,7743,12,,,
1963,157,7744,13,17,,
1963,157,7539,14,,1,1
1963,157,7602,16,18,,
1963,157,7746,17,,,
1963,157,7520,19,28,,4
1963,157,7747,20,,,
1963,157,7748,21,23,,
1963,157,7525,22,,2,2
1963,157,7749,23,,,
1963,157,7750,24,24,,
1963,157,7751,25,,,
1963,157,7752,26,,,
1963,157,7753,27,,6,
1963,157,7632,29,,,
1963,157,7448,30,30,3,5
1963,157,7754,32,,,
1963,167,7492,1,,4,2
1963,167,7543,3,17,,6
1963,167,7755,6,,5,
1963,167,7261,7,25,,
1963,167,7635,9,,,
1963,167,7756,10,,,
1963,167,7505,11,,,
1963,167,7757,13,,,
1963,167,7517,14,29,1,4
1963,167,7758,16,,,
1963,167,7759,17,,,
1963,167,7639,19,28,,
1963,167,7760,20,,,
1963,167,7511,22,,2,1
1963,167,7508,23,23,,5
1963,167,7761,24,,,
1963,167,7222,26,30,6,3
1963,167,7435,27,,,
1963,167,7262,30,,,
1963,167,7555,32,,3,
1963,177,7762,1,,,
1963,177,7648,3,,,
1963,177,7655,4,,5,
1963,177,7460,5,29,4,6
1963,177,7763,6,,,
1963,177,7653,7,,,
1963,177,7764,8,,,
1963,177,7765,9,,,
1963,177,7766,10,,,
1963,177,7767,11,,,
1963,177,7445,12,25,,
1963,177,7499,13,17,,3
1963,177,7768,14,,,
1963,177,7528,16,,1,1
1963,177,7649,17,28,,
1963,177,7769,19,,,
1963,177,7770,20,,,
1963,177,7486,21,23,,5
1963,177,7515,22,,2,2
1963,177,7771,23,24,,
1963,177,7507,25,,,
1963,177,7772,26,,6,
1963,177,7773,27,,,
1963,177,7629,28,,,
1963,177,7488,29,30,3,4
1963,177,7673,30,,,
1963,177,7495,32,,,
1963,191,7775,1,,,
1963,191,7481,3,29,5,6
1963,191,7774,4,,,
1963,191,7776,5,,,
1963,191,7777,6,,,
1963,191,7778,7,,4,
1963,191,7779,10,,,
1963,191,7780,11,,,
1963,191,7781,12,25,,
1963,191,7518,14,17,,4
1963,191,7487,16,,1,2
1963,191,7479,17,,,
1963,191,7249,19,,,
1963,191,7782,20,,,
1963,191,7783,22,,,
1963,191,7538,23,30,2,3
1963,191,7784,26,,,
1963,191,7512,27,28,6,5
1963,191,7785,28,,,
1963,191,7786,30,23,,
1963,191,7484,32,,3,1
1963,UNL,7787,1,17,,
1963,UNL,7527,3,,4,2
1963,UNL,7788,5,,5,
1963,UNL,7468,7,25,,6
1963,UNL,7546,9,,,
1963,UNL,7789,11,,,
1963,UNL,7519,13,29,1,3
1963,UNL,7790,19,28,,
1963,UNL,7257,21,23,,5
1963,UNL,7240,23,,2,1
1963,UNL,7791,25,,,
1963,UNL,7550,27,30,3,4
1963,UNL,7666,29,,,
1963,UNL,7792,31,,6,
1964,115,7556,1,,,
1964,115,7557,3,,,
1964,115,7490,4,29,4,5
1964,115,7378,6,,5,
1964,115,7558,7,,,
1964,115,7559,8,,,
1964,115,7253,10,,1,2
1964,115,7365,11,,,
1964,115,7368,12,17,,
1964,115,7560,14,,,
1964,115,7366,15,,,
1964,115,7383,16,25,,4
1964,115,7552,17,30,,3
1964,115,7561,18,,,
1964,115,7562,19,,,
1964,115,7223,21,,,
1964,115,7563,22,,,
1964,115,7564,23,,2,
1964,115,7379,25,,,
1964,115,7565,26,28,6,
1964,115,7566,27,,,
1964,115,7567,29,,,
1964,115,7485,30,23,,6
1964,115,7501,32,,3,1
1964,123,7568,1,,,
1964,123,7569,3,,,
1964,123,7212,4,29,4,5
1964,123,7570,5,,,
1964,123,7259,6,,,
1964,123,7218,7,,5,
1964,123,7571,8,,,
1964,123,7503,10,25,,3
1964,123,7572,11,,,
1964,123,7269,12,,,
1964,123,7024,13,17,,
1964,123,7541,14,,1,1
1964,123,7574,15,,,
1964,123,7575,16,18,,
1964,123,7523,17,,,
1964,123,7375,18,,,
1964,123,7576,19,,,
1964,123,7384,20,28,,
1964,123,7376,21,,2,2
1964,123,7381,22,23,,4
1964,123,7235,23,24,,
1964,123,7536,25,30,3,
1964,123,7577,26,,,
1964,123,7580,27,,,
1964,123,7578,29,,6,
1964,123,7380,30,,,
1964,123,7579,32,,,
1964,130,7581,1,,,
1964,130,7582,3,,,
1964,130,7542,4,29,5,4
1964,130,7228,6,,4,
1964,130,7583,7,,,
1964,130,7584,8,,,
1964,130,7206,10,18,,6
1964,130,7000,11,,,2
1964,130,7521,12,17,1,
1964,130,7585,14,,,
1964,130,7312,15,25,,
1964,130,7586,16,,,
1964,130,7386,17,,,
1964,130,7248,18,28,,
1964,130,7587,19,,,
1964,130,7410,21,,,
1964,130,7540,22,23,,3
1964,130,7266,23,,2,1
1964,130,7588,25,,3,
1964,130,7589,26,,,
