Division_id,Season,HOFEventID,Ordinal,Start Date,End Date,Location,Team Champion,Champs,Points,Weight Classes,Places
2,2012,,50th,3/9/12,3/10/12,Southern Colorado,326,3,107,10,8
2,2011,,49th,3/11/11,3/12/11,Nebraska-Kearney,168,3,102.5,10,8
2,2010,,48th,3/12/10,3/13/10,Nebraska-Omaha,168,1,131,10,8
2,2009,,47th,3/13/09,3/14/09,"Houston, TX",168,1,146.5,10,8
2,2008,,46th,3/14/08,3/15/08,Northern Iowa,326,2,108.5,10,8
2,2007,,45th,3/9/07,3/10/07,Nebraska-Kearney,295,1,120.5,10,8
2,2006,,44th,3/10/06,3/11/06,Findlay,168,3,117,10,8
2,2005,,43rd,3/11/05,3/12/05,Nebraska-Omaha,168,3,109.5,10,8
2,2004,,42nd,3/12/04,3/13/04,Minnesota State,168,1,97.5,10,8
2,2003,,41st,3/14/03,3/15/03,West Liberty State,295,3,87.5,10,8
2,2002,,40th,3/8/02,3/9/02,Wisconsin-Parkside,295,4,128,10,8
2,2001,,39th,3/9/01,3/10/01,Northern Colorado,180,3,98.5,10,8
2,2000,,38th,3/10/00,3/11/00,South Dakota State,180,4,91.5,10,8
2,1999,,37th,3/12/99,3/13/99,Nebraska-Omaha,203,3,110,10,8
2,1998,,36th,3/13/98,3/14/98,Southern Colorado,180,2,112,10,8
2,1997,,35th,3/14/97,3/15/97,North Dakota State,215,3,95,10,8
2,1996,,34th,3/15/96,3/16/96,Northern Colorado,203,1,86.5,10,8
2,1995,,33rd,3/3/95,3/4/95,Nebraska-Kearney,295,3,148,10,8
2,1994,,32nd,3/5/94,3/6/94,Southern Colorado,295,4,127.25,10,8
2,1993,,31st,3/5/93,3/6/93,South Dakota State,295,3,108.5,10,8
2,1992,,30th,3/6/92,3/7/92,Northern Colorado,295,3,91.5,10,8
2,1991,,29th,3/1/91,3/2/91,North Dakota State,168,2,79.5,10,8
2,1990,,28th,3/2/90,3/3/90,Wisconsin-Parkside,204,4,100.75,10,8
2,1989,,27th,3/4/89,3/5/89,California PA,204,5,102.5,10,8
2,1988,,26th,3/5/88,3/6/88,Nebraska Omaha,180,1,88,10,8
2,1987,,25th,3/6/87,3/7/87,SIU-Edwardsville,32,3,90.5,10,8
2,1986,,24th,2/28/86,3/1/86,SIU-Edwardsville,221,3,119,10,8
2,1985,,23rd,3/1/85,3/2/85,Dayton,221,3,132.75,10,8
2,1984,,22nd,2/24/84,2/25/84,Morgan State,221,4,141.5,10,8
2,1983,,21st,2/25/83,2/26/83,North Dakota State,32,2,107.5,10,8
2,1982,,20th,2/26/82,2/27/82,Wisconsin-Parkside,32,4,166.5,10,8
2,1981,,19th,2/28/81,3/1/81,California-Davis,32,4,144.5,10,8
2,1980,,18th,2/29/80,3/1/80,Nebraska Omaha,32,2,110.5,10,8
2,1979,,17th,2/23/79,2/24/79,South Dakota State,32,3,112.75,10,8
2,1978,,16th,3/3/78,3/4/78,Northern Iowa,184,3,124,10,6
2,1977,,15th,3/4/77,3/5/77,Northern Iowa,32,2,107.25,10,6
2,1976,,14th,3/5/76,3/6/76,North Dakota State,32,3,92.5,10,6
2,1975,,13th,3/7/75,3/8/75,East Stroudsburg,184,3,112,10,6
2,1974,,12th,3/1/74,3/2/74,Cal State-Fullerton,31,2,131.5,10,6
2,1973,,11th,3/2/73,3/3/73,South Dakota State,31,2,108,10,6
2,1972,,10th,3/3/72,3/4/72,SUNY-Oswego,31,1,94,10,6
2,1971,,9th,3/5/71,3/6/71,North Dakota State,31,2,118,10,6
2,1970,,8th,3/13/70,3/14/70,Ashland,31,1,82,10,6
2,1969,,7th,3/14/69,3/15/69,Cal Poly-SLO,31,4,127,11,6
2,1968,,6th,3/8/68,3/9/68,Minnesota State,31,3,91,11,6
2,1967,,5th,3/9/67,3/11/67,Wilkes,204,3,86,11,6
2,1966,,4th,3/11/66,3/12/66,Minnesota State,31,2,55,11,6
2,1965,,3rd,3/12/65,3/13/65,Colorado Mines,145,1,57,10,4
2,1964,,2nd,3/13/64,3/14/64,Northern Iowa,273,2,62,10,4
2,1963,,1st,3/15/63,3/16/63,Northern Iowa,273,1,51,10,4
